Split RX;UPOS;FEATS;Gloss;
ADJ;ADJ;;;
ADP;ADP;;;
ADV;ADV;;;
ADVREL;ADV;PronType=Rel;;
ADVDEICT;ADV;PronType=Dem;;
ART;DET;;;
ASP;ADV;;;
ASS;ADV;;;
AUX;VERB;SVC=Yes;;
BKL;INTJ;;;
BW;;Foreign=Yes;;
CLICK;INTJ;;;
COMP;SCONJ;;;
CONJ;SCONJ;;;
COORD;CCONJ;;;
COP;PART;;;
COP2;PART;VerbType=Cop;;
COP3;PART;;;
CSW;;Foreign=Yes;;
DEICT;DET;PronType=Dem;;
DEOPH;IDEO;;;
der;ADV;;;
DER;ADV;;;
DET;DET;;;
DET;DET;;;
DM;PART;;;
DP;PART;;;
EN;;Language=en;;
ENG;;Language=en;;
EXCL;INTJ;;;
EXCM;INTJ;;;
EXT;ADV;;;
FIL;X;;;
FILL;X;;;
FS;X;;;
HAU;;Language=hau;;
HESIT;X;;;
IDEOPH;IDEO;;;
IDP;;Case=Nom;;
INDF;NOUN;;;
INTJ;INTJ;;;
N;NOUN;;;
NEG;;Polarity=Neg;;
NPR;PROPN;;;
NUM;NUM;;;
ONO;INTJ;;;
ONOM;INTJ;;;
PL;;Number=Plur;;
PLAC;;Number=Plur;;
PN;PRON;;;
PNTAM;AUX;;;
PREP;ADP;;;
PRO;PRON;;;
PROREL;PRON;PronType=Rel;;
PRT;ADP;;;
PTC;PART;;;
PTCL;PART;;;
PTCP;VERB;VerbForm=Part|Tense=Past;;
PUNCT;PUNCT;;;
Q;PUNCT;;;
red;;Aspect=Iter;;
REL;PRON;;;
SPCF;DET;;;
SUFX;SCONJ;;;
TAG;PART;;;
TAM;AUX;;;
V;VERB;;;
V*;VERB;;;
V?*;VERB;;;
VRT;PART;;;
X;X;;;
XX;X;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
